dispute_id,transaction_id,reason,status,opened_date,resolved_date
153,32166,Item Not Received,OPEN,2026-05-26,
154,9042,Item Not Received,RESOLVED,2025-04-24,2025-05-01
155,36366,Item Not Received,OPEN,2026-07-13,
156,46935,Duplicate Charge,OPEN,2025-07-04,
157,32834,Merchant Error,OPEN,2024-10-27,
158,41222,Item Not As Described,RESOLVED,2024-12-26,2024-12-29
159,45006,Item Not As Described,OPEN,2026-08-10,
160,6103,Duplicate Charge,RESOLVED,2025-10-23,2025-11-07
161,4645,Fraud - Unauthorized,RESOLVED,2026-01-19,2026-02-01
162,20015,Incorrect Amount,RESOLVED,2024-08-23,2024-08-30
163,5719,Merchant Error,RESOLVED,2026-08-10,
164,38266,Incorrect Amount,RESOLVED,2026-02-20,2026-03-07
165,35093,Merchant Error,RESOLVED,2025-07-29,2025-08-03
166,9579,Fraud - Unauthorized,OPEN,2026-01-05,
167,29212,Merchant Error,RESOLVED,2025-06-06,2025-06-19
168,13531,Fraud - Unauthorized,OPEN,2026-03-19,
169,40553,Incorrect Amount,RESOLVED,2024-12-24,2024-12-28
170,33030,Item Not As Described,RESOLVED,2025-03-10,2025-03-21
171,29787,Fraud - Unauthorized,RESOLVED,2026-08-10,
172,13998,Item Not As Described,RESOLVED,2026-02-10,2026-02-22
173,15834,Item Not As Described,RESOLVED,2026-07-06,2026-07-10
174,39295,Item Not Received,OPEN,2024-10-17,
175,39929,Fraud - Unauthorized,RESOLVED,2024-09-12,2024-09-13
176,40374,Fraud - Unauthorized,RESOLVED,2026-07-08,2026-07-11
177,18337,Item Not Received,RESOLVED,2025-09-29,2025-10-04
178,48631,Incorrect Amount,RESOLVED,2025-09-04,2025-09-06
179,611,Item Not As Described,RESOLVED,2025-12-12,2025-12-13
180,29938,Merchant Error,RESOLVED,2025-03-16,2025-03-18
181,48776,Incorrect Amount,RESOLVED,2026-08-05,
182,40435,Duplicate Charge,RESOLVED,2024-11-30,2024-12-09
183,11848,Duplicate Charge,OPEN,2025-05-19,
184,6949,Item Not As Described,RESOLVED,2024-11-02,2024-11-15
185,49946,Duplicate Charge,REJECTED,2025-05-06,2025-05-08
186,39492,Fraud - Unauthorized,RESOLVED,2024-12-19,2025-01-03
187,34565,Item Not As Described,RESOLVED,2025-10-22,2025-10-28
188,46764,Incorrect Amount,RESOLVED,2025-08-30,2025-09-08
189,21442,Duplicate Charge,RESOLVED,2024-09-06,2024-09-21
190,35945,Item Not As Described,RESOLVED,2024-08-31,2024-09-01
191,17537,Fraud - Unauthorized,REJECTED,2026-01-01,2026-01-15
192,42882,Merchant Error,OPEN,2025-01-16,
193,34419,Item Not Received,OPEN,2025-06-12,
194,1486,Item Not As Described,RESOLVED,2025-01-28,2025-02-01
195,1636,Item Not Received,RESOLVED,2025-07-08,2025-07-09
196,26739,Item Not As Described,OPEN,2025-06-27,
197,32778,Merchant Error,REJECTED,2026-06-20,2026-06-21
198,29744,Item Not As Described,RESOLVED,2025-11-07,2025-11-19
199,37010,Item Not As Described,OPEN,2025-06-13,
200,27215,Item Not As Described,RESOLVED,2025-11-26,2025-12-11
201,25676,Item Not As Described,REJECTED,2024-11-07,2024-11-22
202,41274,Merchant Error,RESOLVED,2025-09-14,2025-09-24
203,45720,Fraud - Unauthorized,OPEN,2024-11-05,
204,27674,Item Not As Described,OPEN,2025-02-24,
205,15445,Item Not As Described,REJECTED,2026-03-20,2026-04-01
206,5528,Fraud - Unauthorized,OPEN,2026-02-23,
207,25031,Item Not Received,RESOLVED,2024-10-29,2024-11-06
208,10128,Item Not Received,REJECTED,2025-03-23,2025-03-24
209,4825,Merchant Error,OPEN,2026-04-09,
210,28662,Fraud - Unauthorized,RESOLVED,2024-10-11,2024-10-21
211,20997,Fraud - Unauthorized,RESOLVED,2026-02-21,2026-03-04
212,11470,Fraud - Unauthorized,OPEN,2026-01-04,
213,35365,Item Not Received,RESOLVED,2026-07-29,2026-08-03
214,21558,Merchant Error,RESOLVED,2024-10-29,2024-11-06
215,2820,Item Not As Described,RESOLVED,2025-11-04,2025-11-16
216,32943,Item Not As Described,REJECTED,2025-09-19,2025-10-03
217,13351,Item Not Received,REJECTED,2026-03-19,2026-03-25
218,21720,Item Not As Described,RESOLVED,2024-11-17,2024-11-26
219,18427,Fraud - Unauthorized,RESOLVED,2025-07-04,2025-07-09
220,29320,Incorrect Amount,OPEN,2026-02-13,
221,23350,Item Not Received,RESOLVED,2026-06-07,2026-06-17
222,49412,Merchant Error,RESOLVED,2025-12-03,2025-12-12
223,16174,Item Not Received,RESOLVED,2026-04-07,2026-04-17
224,11803,Duplicate Charge,RESOLVED,2026-08-10,
225,26041,Item Not Received,RESOLVED,2026-05-14,2026-05-17
226,11287,Item Not As Described,RESOLVED,2024-09-12,2024-09-14
227,45277,Item Not Received,RESOLVED,2025-03-19,2025-04-01
228,39575,Incorrect Amount,REJECTED,2025-11-30,2025-12-09
229,757,Item Not As Described,RESOLVED,2025-11-23,2025-12-01
230,37055,Fraud - Unauthorized,OPEN,2026-05-09,
231,48920,Incorrect Amount,RESOLVED,2025-04-27,2025-05-01
232,18139,Merchant Error,RESOLVED,2025-10-25,2025-10-31
233,43636,Incorrect Amount,RESOLVED,2026-06-01,2026-06-03
234,37420,Duplicate Charge,REJECTED,2026-03-15,2026-03-21
235,27236,Item Not As Described,RESOLVED,2025-09-30,2025-10-05
236,13916,Item Not Received,RESOLVED,2026-08-10,
237,36935,Item Not Received,RESOLVED,2026-08-10,
238,48538,Item Not As Described,RESOLVED,2026-06-15,2026-06-17
239,33713,Incorrect Amount,RESOLVED,2025-11-10,2025-11-19
240,2405,Fraud - Unauthorized,OPEN,2024-09-09,
241,26452,Merchant Error,REJECTED,2025-09-08,2025-09-19
242,35581,Item Not Received,RESOLVED,2025-03-27,2025-03-29
243,8966,Fraud - Unauthorized,RESOLVED,2025-10-01,2025-10-02
244,49287,Duplicate Charge,RESOLVED,2025-10-23,2025-11-01
245,28910,Merchant Error,REJECTED,2025-03-26,2025-04-05
246,16473,Item Not As Described,RESOLVED,2025-10-01,2025-10-02
247,17100,Item Not Received,RESOLVED,2024-12-12,2024-12-14
248,20329,Item Not As Described,REJECTED,2026-02-24,2026-03-03
249,7657,Fraud - Unauthorized,OPEN,2025-09-03,
250,26539,Merchant Error,RESOLVED,2024-10-28,2024-11-12
251,13007,Duplicate Charge,RESOLVED,2025-07-21,2025-07-25
252,43737,Fraud - Unauthorized,REJECTED,2025-07-25,2025-07-27
253,30984,Duplicate Charge,REJECTED,2026-01-03,2026-01-05
254,27592,Merchant Error,RESOLVED,2025-01-25,2025-02-03
255,6236,Incorrect Amount,OPEN,2026-08-01,
256,9561,Incorrect Amount,OPEN,2025-09-06,
257,28770,Merchant Error,RESOLVED,2025-12-12,2025-12-21
258,33428,Incorrect Amount,OPEN,2025-09-07,
259,29850,Item Not Received,RESOLVED,2025-02-23,2025-03-05
260,44746,Item Not Received,RESOLVED,2025-11-08,2025-11-16
261,13471,Duplicate Charge,RESOLVED,2026-06-03,2026-06-11
262,5684,Merchant Error,RESOLVED,2025-11-19,2025-11-29
263,35693,Incorrect Amount,RESOLVED,2025-10-09,2025-10-14
264,971,Incorrect Amount,RESOLVED,2025-10-30,2025-11-07
265,9430,Fraud - Unauthorized,OPEN,2025-08-17,
266,958,Fraud - Unauthorized,OPEN,2025-12-10,
267,31914,Fraud - Unauthorized,RESOLVED,2025-02-20,2025-03-05
268,6474,Item Not As Described,OPEN,2026-01-26,
269,14154,Incorrect Amount,RESOLVED,2025-05-03,2025-05-12
270,29828,Item Not As Described,RESOLVED,2026-01-22,2026-02-03
271,1052,Fraud - Unauthorized,RESOLVED,2024-11-21,2024-11-27
272,4219,Incorrect Amount,RESOLVED,2025-04-16,2025-04-23
273,20864,Duplicate Charge,RESOLVED,2025-10-24,2025-10-28
274,17557,Incorrect Amount,RESOLVED,2025-02-17,2025-02-18
275,33950,Duplicate Charge,REJECTED,2026-02-25,2026-03-04
276,6317,Item Not As Described,OPEN,2024-12-02,
277,27120,Item Not As Described,OPEN,2026-08-01,
278,31674,Item Not As Described,OPEN,2025-03-13,
279,11174,Item Not Received,RESOLVED,2026-02-01,2026-02-07
280,48785,Item Not Received,OPEN,2026-06-08,
281,34822,Item Not As Described,OPEN,2026-04-24,
282,26997,Duplicate Charge,RESOLVED,2024-11-13,2024-11-18
283,17202,Item Not Received,RESOLVED,2026-06-20,2026-06-25
284,4101,Item Not Received,REJECTED,2026-03-02,2026-03-14
285,42444,Duplicate Charge,RESOLVED,2025-11-01,2025-11-16
286,40368,Item Not Received,RESOLVED,2025-08-27,2025-09-05
287,42870,Duplicate Charge,RESOLVED,2025-02-11,2025-02-21
288,23391,Item Not Received,RESOLVED,2025-06-16,2025-07-01
289,34638,Item Not Received,REJECTED,2026-06-23,2026-07-07
290,41561,Item Not As Described,RESOLVED,2026-07-24,2026-08-04
291,16587,Incorrect Amount,RESOLVED,2025-01-13,2025-01-22
292,38338,Merchant Error,RESOLVED,2024-11-13,2024-11-22
293,33807,Item Not As Described,REJECTED,2025-12-31,2026-01-04
294,19579,Item Not As Described,RESOLVED,2026-01-31,2026-02-15
295,2819,Fraud - Unauthorized,RESOLVED,2025-08-26,2025-09-03
296,44096,Fraud - Unauthorized,RESOLVED,2026-08-09,
297,10058,Incorrect Amount,OPEN,2025-07-16,
298,507,Incorrect Amount,OPEN,2026-08-10,
299,48764,Incorrect Amount,REJECTED,2025-08-04,2025-08-06
300,37427,Fraud - Unauthorized,RESOLVED,2024-11-26,2024-11-28
301,40674,Merchant Error,OPEN,2025-11-24,
302,11739,Merchant Error,RESOLVED,2025-02-11,2025-02-22
303,30893,Duplicate Charge,RESOLVED,2025-03-20,2025-03-29
304,35491,Item Not Received,RESOLVED,2025-10-12,2025-10-20
305,2567,Incorrect Amount,OPEN,2025-01-25,
306,29897,Duplicate Charge,RESOLVED,2025-03-22,2025-03-28
307,45722,Duplicate Charge,RESOLVED,2024-10-14,2024-10-23
308,9781,Item Not Received,RESOLVED,2025-01-16,2025-01-18
309,24265,Item Not Received,OPEN,2026-05-09,
310,926,Merchant Error,RESOLVED,2026-08-05,
311,12633,Fraud - Unauthorized,OPEN,2025-08-28,
312,46233,Merchant Error,REJECTED,2026-01-29,2026-02-04
313,37454,Incorrect Amount,RESOLVED,2026-08-06,
314,36651,Item Not As Described,RESOLVED,2025-03-23,2025-03-24
315,35328,Duplicate Charge,RESOLVED,2026-05-10,2026-05-14
316,45748,Incorrect Amount,OPEN,2024-11-16,
317,39731,Item Not As Described,REJECTED,2025-05-21,2025-06-05
318,5585,Incorrect Amount,RESOLVED,2024-10-25,2024-11-08
319,1234,Fraud - Unauthorized,RESOLVED,2025-03-19,2025-03-31
320,4997,Duplicate Charge,RESOLVED,2024-11-01,2024-11-10
321,228,Duplicate Charge,OPEN,2024-11-17,
322,47972,Fraud - Unauthorized,OPEN,2026-02-05,
323,13969,Fraud - Unauthorized,OPEN,2026-07-31,
324,47782,Duplicate Charge,RESOLVED,2025-06-14,2025-06-22
325,46349,Duplicate Charge,RESOLVED,2025-05-21,2025-06-05
326,8964,Item Not Received,RESOLVED,2024-12-17,2024-12-20
327,20368,Fraud - Unauthorized,RESOLVED,2025-10-05,2025-10-19
328,34279,Item Not Received,OPEN,2025-12-31,
329,23898,Incorrect Amount,REJECTED,2024-09-19,2024-10-03
330,6529,Merchant Error,RESOLVED,2026-08-10,
331,9013,Duplicate Charge,OPEN,2025-04-28,
332,8905,Merchant Error,OPEN,2026-05-18,
333,8790,Merchant Error,RESOLVED,2025-09-20,2025-10-03
334,2963,Item Not As Described,OPEN,2026-06-15,
335,26331,Item Not As Described,RESOLVED,2024-09-07,2024-09-16
336,22117,Fraud - Unauthorized,RESOLVED,2025-03-09,2025-03-15
337,43792,Fraud - Unauthorized,RESOLVED,2024-10-15,2024-10-21
338,43921,Item Not As Described,OPEN,2026-01-28,
339,34644,Duplicate Charge,OPEN,2025-10-13,
340,9810,Merchant Error,REJECTED,2024-09-05,2024-09-06
341,24537,Fraud - Unauthorized,RESOLVED,2026-01-11,2026-01-16
342,5411,Fraud - Unauthorized,RESOLVED,2025-08-27,2025-09-08
343,3273,Incorrect Amount,OPEN,2026-04-15,
344,17104,Merchant Error,RESOLVED,2025-11-30,2025-12-07
345,3426,Merchant Error,RESOLVED,2024-11-24,2024-12-04
346,41739,Item Not As Described,REJECTED,2026-05-06,2026-05-12
347,38399,Duplicate Charge,RESOLVED,2025-07-12,2025-07-19
348,30349,Item Not Received,RESOLVED,2025-08-12,2025-08-23
349,42249,Duplicate Charge,RESOLVED,2026-03-08,2026-03-19
350,24780,Duplicate Charge,RESOLVED,2026-04-16,2026-04-24
351,37531,Item Not Received,RESOLVED,2025-07-15,2025-07-29
352,29759,Item Not As Described,REJECTED,2026-08-10,
353,11242,Item Not As Described,OPEN,2024-11-26,
354,26374,Incorrect Amount,OPEN,2025-09-24,
355,16155,Merchant Error,RESOLVED,2025-04-20,2025-04-25
356,47026,Merchant Error,REJECTED,2024-11-30,2024-12-08
357,43605,Fraud - Unauthorized,RESOLVED,2026-03-22,2026-04-02
358,45853,Incorrect Amount,OPEN,2026-08-10,
359,12231,Merchant Error,REJECTED,2025-04-01,2025-04-12
360,44716,Fraud - Unauthorized,OPEN,2026-05-23,
361,46331,Merchant Error,RESOLVED,2026-05-20,2026-05-30
362,43964,Merchant Error,RESOLVED,2025-10-26,2025-11-07
363,4564,Fraud - Unauthorized,REJECTED,2026-04-28,2026-05-01
364,2156,Duplicate Charge,OPEN,2025-11-19,
365,23819,Merchant Error,RESOLVED,2026-04-25,2026-05-03
366,14363,Item Not As Described,REJECTED,2025-10-03,2025-10-05
367,45599,Duplicate Charge,OPEN,2025-03-05,
368,19280,Duplicate Charge,OPEN,2025-08-08,
369,31889,Item Not Received,OPEN,2025-04-13,
370,7997,Duplicate Charge,RESOLVED,2026-07-24,2026-07-29
371,46031,Item Not As Described,OPEN,2025-02-18,
372,13507,Fraud - Unauthorized,RESOLVED,2026-02-10,2026-02-19
373,35146,Merchant Error,RESOLVED,2025-12-10,2025-12-20
374,37083,Item Not Received,RESOLVED,2026-01-09,2026-01-17
375,48033,Fraud - Unauthorized,OPEN,2024-09-26,
376,42455,Fraud - Unauthorized,RESOLVED,2024-10-25,2024-11-08
377,15069,Item Not As Described,OPEN,2024-11-12,
378,6155,Merchant Error,RESOLVED,2026-03-12,2026-03-24
379,23844,Duplicate Charge,REJECTED,2026-03-30,2026-04-07
380,7653,Duplicate Charge,OPEN,2026-08-06,
381,47344,Item Not As Described,RESOLVED,2026-08-10,
382,46567,Item Not As Described,REJECTED,2024-10-24,2024-11-01
383,44528,Duplicate Charge,RESOLVED,2026-04-22,2026-05-01
384,26542,Item Not As Described,RESOLVED,2025-02-08,2025-02-23
385,19216,Item Not As Described,RESOLVED,2026-04-28,2026-05-01
386,11273,Fraud - Unauthorized,RESOLVED,2026-06-25,2026-07-01
387,10999,Duplicate Charge,REJECTED,2025-12-14,2025-12-18
388,5972,Merchant Error,RESOLVED,2024-10-25,2024-11-06
389,8718,Item Not Received,OPEN,2025-10-28,
390,5753,Fraud - Unauthorized,OPEN,2025-11-28,
391,37694,Item Not Received,RESOLVED,2025-02-06,2025-02-09
392,29475,Item Not As Described,REJECTED,2026-02-22,2026-03-03
393,10756,Duplicate Charge,RESOLVED,2026-04-20,2026-04-26
394,40395,Item Not Received,RESOLVED,2026-08-10,
395,18143,Item Not Received,OPEN,2024-12-15,
396,49148,Merchant Error,RESOLVED,2025-12-13,2025-12-27
397,41776,Fraud - Unauthorized,OPEN,2025-04-24,
398,27393,Item Not Received,REJECTED,2026-01-29,2026-01-30
399,18731,Item Not As Described,RESOLVED,2025-02-04,2025-02-12
400,49191,Incorrect Amount,RESOLVED,2025-12-22,2026-01-05
401,36355,Item Not As Described,RESOLVED,2025-07-28,2025-08-11
402,48553,Merchant Error,RESOLVED,2025-03-30,2025-04-07
403,23624,Item Not As Described,OPEN,2024-11-15,
404,39980,Item Not Received,RESOLVED,2025-01-29,2025-02-06
405,43386,Item Not Received,OPEN,2025-12-16,
406,19085,Merchant Error,REJECTED,2025-01-15,2025-01-26
407,37049,Item Not As Described,RESOLVED,2026-07-19,2026-08-01
408,11466,Incorrect Amount,RESOLVED,2026-02-11,2026-02-15
409,26328,Merchant Error,RESOLVED,2025-02-27,2025-02-28
410,25748,Duplicate Charge,REJECTED,2025-07-12,2025-07-22
411,8015,Duplicate Charge,RESOLVED,2025-08-02,2025-08-15
412,1065,Duplicate Charge,REJECTED,2025-10-05,2025-10-20
413,17220,Merchant Error,RESOLVED,2026-03-24,2026-04-07
414,21583,Fraud - Unauthorized,RESOLVED,2024-10-02,2024-10-05
415,37164,Item Not As Described,RESOLVED,2025-12-01,2025-12-15
416,13185,Fraud - Unauthorized,OPEN,2025-05-25,
417,33892,Item Not Received,RESOLVED,2026-02-18,2026-02-21
418,12926,Item Not As Described,RESOLVED,2026-04-07,2026-04-22
419,27268,Item Not As Described,RESOLVED,2025-09-05,2025-09-06
420,37598,Duplicate Charge,REJECTED,2025-11-01,2025-11-11
421,26945,Item Not Received,RESOLVED,2024-10-08,2024-10-09
422,17787,Item Not Received,RESOLVED,2024-09-17,2024-09-26
423,13341,Merchant Error,RESOLVED,2025-09-04,2025-09-07
424,35710,Fraud - Unauthorized,OPEN,2026-08-10,
425,1224,Item Not As Described,REJECTED,2026-06-05,2026-06-13
426,48140,Fraud - Unauthorized,OPEN,2025-10-13,
427,9029,Item Not As Described,RESOLVED,2026-02-03,2026-02-10
428,32353,Merchant Error,RESOLVED,2025-04-01,2025-04-13
429,7807,Item Not As Described,RESOLVED,2026-02-21,2026-03-02
