transaction_id,user_id,card_id,merchant_id,state_code,amount,currency,transaction_type,status,transaction_ts
45,474,570,164,RJ,17613.4,INR,CARD,SUCCESS,2025-03-07 03:56:45
46,150,,68,HR,11553.01,INR,UPI,SUCCESS,2025-10-01 12:09:26
47,600,,253,MH,3745.61,INR,IMPS,SUCCESS,2025-05-04 21:11:43
48,1481,,291,HR,2942.75,INR,NEFT,SUCCESS,2025-09-17 16:53:12
49,1343,,27,TG,3725.75,INR,UPI,SUCCESS,2025-07-27 16:29:49
50,1723,,74,TG,1183.84,INR,UPI,SUCCESS,2026-07-30 14:33:21
51,1441,1714,139,OD,1403.29,INR,CARD,SUCCESS,2026-02-27 21:16:32
52,810,,101,TG,1280.29,INR,UPI,SUCCESS,2026-04-10 19:31:32
53,1066,,219,TG,12427.44,INR,UPI,SUCCESS,2026-05-13 03:20:29
54,1683,,26,KL,80383.71,INR,UPI,SUCCESS,2025-11-06 11:44:40
55,1584,,279,WB,1707.97,INR,IMPS,SUCCESS,2025-07-26 13:56:20
56,781,,12,MP,4742.93,INR,UPI,SUCCESS,2026-03-07 19:49:59
57,1429,,106,RJ,7685.69,INR,NEFT,SUCCESS,2025-03-20 04:10:38
58,1796,,69,BR,266.53,INR,IMPS,SUCCESS,2026-02-16 12:09:01
59,233,,97,KA,522.16,INR,UPI,SUCCESS,2026-08-02 18:18:27
60,103,,1,KL,741.44,INR,NEFT,SUCCESS,2025-08-14 02:14:52
61,1843,,272,DL,64812.48,INR,NEFT,SUCCESS,2024-09-16 21:27:58
62,1073,1319,261,KL,907.91,INR,CARD,SUCCESS,2024-10-01 22:10:45
63,557,,124,PB,604.61,INR,UPI,SUCCESS,2025-01-22 21:21:41
64,392,,268,WB,7721.37,INR,UPI,SUCCESS,2025-07-31 19:15:27
65,1036,1272,26,TN,18942.02,INR,CARD,FAILED,2025-09-15 00:53:43
66,782,,145,AS,2850.06,INR,UPI,SUCCESS,2024-12-07 00:47:52
67,77,85,80,MP,53370.35,INR,CARD,SUCCESS,2025-09-23 10:08:27
68,1323,,105,KA,24444.78,INR,UPI,SUCCESS,2025-09-14 18:08:00
69,869,,265,OD,19557.54,INR,UPI,SUCCESS,2025-06-05 08:00:21
70,1187,,267,BR,12516.9,INR,UPI,SUCCESS,2026-11-16 13:58:12
71,1772,,15,WB,2729.43,INR,IMPS,SUCCESS,2025-02-24 12:25:12
72,1105,,35,AS,4745.69,INR,UPI,SUCCESS,2025-10-07 15:35:44
73,747,,123,UP,11852.45,INR,UPI,SUCCESS,2025-06-07 06:54:41
74,291,353,49,PB,42929.02,INR,CARD,SUCCESS,2024-09-30 16:19:04
75,1105,,138,OD,23239.96,INR,UPI,SUCCESS,2025-10-18 13:43:37
76,14,,78,UP,19759.59,INR,UPI,SUCCESS,2025-08-03 20:47:13
77,1545,1835,197,RJ,2235.49,INR,CARD,SUCCESS,2025-12-18 12:38:52
78,1513,,32,HR,577.36,INR,UPI,FAILED,2025-10-07 05:57:37
79,10,,279,MH,3790.21,INR,UPI,SUCCESS,2025-10-22 07:22:06
80,257,304,5,UP,16044.93,INR,CARD,FAILED,2026-04-18 05:16:03
81,934,,60,KL,269.22,INR,UPI,SUCCESS,2024-11-17 15:09:25
82,985,,259,DL,1390.16,INR,UPI,SUCCESS,2026-10-15 19:09:44
83,99,,73,WB,43121.52,INR,UPI,SUCCESS,2025-03-23 10:58:35
84,1820,2164,27,OD,2855.51,INR,CARD,SUCCESS,2025-12-03 19:48:30
85,1606,1899,219,TN,56113.2,INR,CARD,SUCCESS,2026-02-12 07:11:46
86,717,,205,KL,663.69,INR,UPI,SUCCESS,2025-11-26 08:02:21
87,774,,269,RJ,4295.27,INR,UPI,SUCCESS,2025-11-30 16:18:19
88,312,,83,TG,3757.44,INR,NEFT,PENDING,2025-06-01 01:08:18
89,747,,101,UP,2362.96,INR,UPI,SUCCESS,2024-10-17 12:58:40
90,1557,1847,133,AS,1332.8,INR,CARD,SUCCESS,2026-01-30 11:39:56
91,1376,,125,PB,25569.34,INR,UPI,SUCCESS,2025-12-20 12:31:35
92,170,208,169,KA,341.14,INR,CARD,SUCCESS,2026-05-15 18:01:38
93,859,,5,MP,962.1,INR,UPI,SUCCESS,2025-10-28 03:30:30
94,1371,,134,AS,10182.94,INR,IMPS,SUCCESS,2026-07-24 10:20:20
95,452,,164,WB,7367.76,INR,UPI,SUCCESS,2026-10-05 17:24:01
96,221,,146,KA,4606.59,INR,UPI,SUCCESS,2025-06-04 13:48:29
97,1836,,259,MP,1393.78,INR,IMPS,SUCCESS,2026-01-19 05:21:05
98,1664,,80,OD,1865.27,INR,UPI,SUCCESS,2026-05-06 19:19:48
99,867,,187,KL,304.75,INR,UPI,SUCCESS,2025-04-25 16:55:23
100,1821,,86,TG,11865.46,INR,UPI,SUCCESS,2024-09-09 14:25:34
101,1412,,73,DL,1737.07,INR,UPI,SUCCESS,2026-01-09 17:12:01
102,1618,1913,9,RJ,8126.81,INR,CARD,SUCCESS,2024-11-29 06:12:13
103,235,,206,DL,7639.43,INR,UPI,SUCCESS,2026-02-01 15:45:35
104,481,,164,WB,22485.29,INR,NEFT,SUCCESS,2026-02-14 14:57:54
105,1837,,103,DL,73346.38,INR,UPI,SUCCESS,2024-09-08 07:04:55
106,1078,,121,TN,1071.81,INR,UPI,SUCCESS,2026-04-30 18:57:41
107,1749,,273,GJ,1454.05,INR,UPI,SUCCESS,2025-12-14 10:57:14
108,1804,,93,GJ,15699.83,INR,UPI,SUCCESS,2025-03-01 21:34:49
109,1298,,228,BR,2677.81,INR,UPI,SUCCESS,2025-09-28 14:33:32
110,51,,263,TG,71314.96,INR,UPI,SUCCESS,2025-07-09 06:48:19
111,715,,293,RJ,15503.44,INR,UPI,SUCCESS,2026-11-28 17:34:26
112,1867,,113,KA,4145.68,INR,NEFT,SUCCESS,2025-05-07 23:03:49
113,1940,2305,109,BR,3420.56,INR,CARD,SUCCESS,2025-01-14 12:31:18
114,1268,,258,TN,1954.23,INR,UPI,SUCCESS,2024-11-26 16:29:58
115,1242,,120,HR,43481.82,INR,UPI,SUCCESS,2026-03-21 08:13:44
116,831,,249,TN,2734.7,INR,UPI,SUCCESS,2025-08-16 19:55:02
117,1839,,65,WB,16523.41,INR,UPI,SUCCESS,2025-02-09 10:51:16
118,1078,1326,184,UP,589.04,INR,CARD,SUCCESS,2025-06-17 20:50:25
119,326,,95,MH,1815.43,INR,UPI,SUCCESS,2026-01-26 05:16:15
120,1319,,204,PB,4738.45,INR,UPI,SUCCESS,2025-10-11 10:16:42
121,1234,,276,KL,5814.5,INR,UPI,SUCCESS,2025-02-13 20:10:39
122,1159,,275,OD,2833.08,INR,UPI,SUCCESS,2024-12-06 06:57:52
123,1996,,254,WB,4748.13,INR,UPI,SUCCESS,2025-05-23 21:19:22
124,1090,,13,KL,1404.93,INR,IMPS,SUCCESS,2025-11-18 09:25:11
125,676,,248,KA,13875.61,INR,UPI,FAILED,2024-11-26 00:32:53
126,1944,,181,KA,1314.36,INR,UPI,SUCCESS,2025-10-18 20:18:52
127,1724,,158,HR,3295.82,INR,UPI,SUCCESS,2024-08-13 09:19:42
128,377,460,135,AS,2231.18,INR,CARD,SUCCESS,2026-07-01 12:02:31
129,1310,,238,MH,1489.39,INR,UPI,SUCCESS,2025-11-10 23:53:01
130,253,,53,MH,18330.94,INR,UPI,SUCCESS,2025-09-07 22:26:30
131,1282,,19,MH,6072.87,INR,UPI,SUCCESS,2025-12-22 12:46:27
132,306,,93,BR,4218.86,INR,NEFT,SUCCESS,2026-12-09 13:33:47
133,33,,197,OD,965.52,INR,UPI,SUCCESS,2024-08-25 09:20:25
134,1664,,134,BR,9490.31,INR,IMPS,SUCCESS,2026-02-06 01:32:59
135,925,,187,KL,434.91,INR,IMPS,PENDING,2026-02-02 14:21:23
136,1014,1241,48,MP,2439.6,INR,CARD,FAILED,2025-11-17 03:21:14
137,836,1035,254,WB,3291.83,INR,CARD,SUCCESS,2025-04-03 01:38:42
138,764,942,113,MP,13092.1,INR,CARD,SUCCESS,2026-07-07 04:40:48
139,1099,,215,WB,8977.61,INR,NEFT,SUCCESS,2026-06-18 18:05:13
140,407,,152,HR,1728.54,INR,NEFT,SUCCESS,2025-07-09 04:23:06
141,1751,,214,MP,1264.97,INR,UPI,SUCCESS,2025-09-16 00:29:14
142,316,,16,OD,4324.28,INR,NEFT,SUCCESS,2025-12-10 20:04:04
143,1846,2197,149,WB,4949.69,INR,CARD,SUCCESS,2025-12-26 23:01:43
144,500,596,221,HR,11962.76,INR,CARD,SUCCESS,2026-02-23 09:27:05
145,654,812,31,RJ,2953.31,INR,CARD,SUCCESS,2024-12-16 07:16:15
146,17,,27,WB,3717.3,INR,UPI,SUCCESS,2026-02-02 07:57:31
147,466,,251,PB,3646.54,INR,NEFT,SUCCESS,2026-04-14 10:07:37
148,1366,,3,KA,1677.63,INR,IMPS,SUCCESS,2025-04-27 06:23:25
149,720,896,57,KL,7151.51,INR,CARD,PENDING,2024-08-27 23:43:36
150,1965,,288,GJ,9837.87,INR,UPI,SUCCESS,2024-11-26 04:09:55
151,1222,1489,136,GJ,38703.05,INR,CARD,SUCCESS,2025-12-04 21:50:59
152,1554,1844,170,TN,4864.65,INR,CARD,SUCCESS,2026-01-02 04:01:08
153,60,,141,HR,3976.28,INR,UPI,SUCCESS,2025-08-02 20:25:34
154,306,376,283,HR,26330.8,INR,CARD,SUCCESS,2024-09-18 16:48:25
155,1016,1246,115,HR,48274.88,INR,CARD,SUCCESS,2024-10-11 07:54:46
156,1550,1839,221,GJ,11728.55,INR,CARD,SUCCESS,2024-10-09 21:20:29
157,1848,,156,GJ,6946.0,INR,UPI,SUCCESS,2026-11-03 13:41:06
158,278,,243,BR,1573.17,INR,NEFT,SUCCESS,2025-02-18 04:48:57
159,790,,49,KA,89795.34,INR,UPI,SUCCESS,2026-05-17 00:48:34
160,1973,2342,217,BR,43288.94,INR,CARD,SUCCESS,2024-10-27 20:09:54
161,869,,15,AS,4158.19,INR,UPI,SUCCESS,2024-08-20 23:08:02
162,1911,,31,BR,3448.78,INR,UPI,SUCCESS,2026-04-15 16:31:27
163,1891,,173,OD,4756.63,INR,UPI,FAILED,2025-04-08 09:04:23
164,1459,,169,TG,2940.19,INR,NEFT,SUCCESS,2024-11-15 02:57:53
165,1442,1715,215,UP,11129.69,INR,CARD,FAILED,2025-01-24 05:43:33
166,470,,272,DL,82898.57,INR,UPI,SUCCESS,2025-05-04 07:32:18
167,186,,150,HR,32685.54,INR,UPI,SUCCESS,2025-02-14 04:38:33
168,751,,24,UP,4316.25,INR,UPI,SUCCESS,2025-11-10 12:11:11
169,272,,242,MP,7300.06,INR,UPI,SUCCESS,2025-11-23 23:42:54
170,226,,170,KL,7461.55,INR,UPI,SUCCESS,2025-01-07 17:57:36
171,1068,,104,HR,1005.66,INR,UPI,SUCCESS,2026-10-19 22:02:29
172,1405,1682,81,TN,40036.11,INR,CARD,SUCCESS,2024-11-01 06:24:35
173,836,,76,AS,41157.54,INR,UPI,SUCCESS,2025-06-08 18:53:57
174,1966,,174,WB,4073.15,INR,IMPS,SUCCESS,2025-11-09 12:48:10
175,290,351,43,GJ,3025.83,INR,CARD,SUCCESS,2024-12-08 20:57:47
176,1216,,282,KA,1344.0,INR,UPI,SUCCESS,2025-07-19 19:39:39
177,944,,223,MH,9402.76,INR,UPI,SUCCESS,2025-10-22 18:07:38
178,925,,250,HR,224.27,INR,UPI,SUCCESS,2026-03-08 03:38:33
179,1493,,42,RJ,34524.67,INR,UPI,SUCCESS,2024-10-18 16:55:00
180,13,,68,GJ,15544.66,INR,UPI,SUCCESS,2025-10-15 01:02:48
181,1817,,110,HR,3762.16,INR,UPI,SUCCESS,2024-12-20 02:54:45
182,1031,,205,GJ,733.62,INR,UPI,SUCCESS,2024-09-15 21:54:47
183,1239,1505,106,HR,5535.54,INR,CARD,SUCCESS,2024-10-02 10:39:46
184,1482,,75,TN,1314.45,INR,UPI,SUCCESS,2026-07-01 05:55:53
185,1126,,68,PB,8983.5,INR,UPI,SUCCESS,2025-02-15 23:03:46
186,124,,52,MH,3409.3,INR,UPI,SUCCESS,2025-09-29 20:53:59
187,347,,186,WB,3225.16,INR,UPI,SUCCESS,2024-10-08 15:36:23
188,1377,1657,199,GJ,2187.29,INR,CARD,SUCCESS,2024-08-17 00:28:22
189,1158,1423,45,MP,1980.69,INR,CARD,SUCCESS,2025-08-06 20:11:49
190,1214,,157,UP,12995.52,INR,UPI,SUCCESS,2024-08-27 23:15:47
191,166,,132,DL,14005.11,INR,UPI,FAILED,2026-10-20 09:36:25
192,889,,124,MH,2225.05,INR,UPI,SUCCESS,2026-01-13 09:47:13
193,1243,,165,MH,2173.57,INR,UPI,SUCCESS,2024-10-11 20:35:17
194,1807,2140,300,HR,15094.15,INR,CARD,SUCCESS,2025-05-19 05:40:55
195,968,,73,MP,37201.7,INR,UPI,SUCCESS,2025-11-19 01:33:10
196,877,,256,TN,5155.72,INR,UPI,SUCCESS,2026-01-16 20:30:48
197,851,,73,HR,50864.21,INR,UPI,SUCCESS,2024-11-22 10:44:23
198,1567,,196,GJ,7396.97,INR,UPI,FAILED,2025-05-26 03:20:29
199,425,,235,OD,861.14,INR,UPI,SUCCESS,2026-05-11 08:53:40
200,340,422,72,MP,1539.27,INR,CARD,FAILED,2025-04-01 12:18:25
201,801,,196,WB,1489.68,INR,UPI,SUCCESS,2026-11-20 03:41:06
202,853,,50,TN,62051.51,INR,UPI,SUCCESS,2025-03-27 12:55:18
203,231,,204,WB,49522.32,INR,UPI,SUCCESS,2025-06-28 20:25:49
204,56,,129,MP,2513.3,INR,UPI,SUCCESS,2026-07-11 21:50:40
205,45,45,111,MH,4715.63,INR,CARD,SUCCESS,2025-10-04 10:15:34
206,1399,,117,KA,3272.36,INR,UPI,SUCCESS,2025-10-31 21:35:36
207,1530,1819,75,UP,3930.4,INR,CARD,SUCCESS,2024-09-23 18:41:39
208,1226,,115,RJ,26294.12,INR,UPI,SUCCESS,2026-03-09 23:17:42
209,298,,297,UP,1402.0,INR,UPI,SUCCESS,2024-12-09 20:25:17
210,255,,266,TN,658.48,INR,UPI,SUCCESS,2025-11-06 03:09:28
211,1938,,206,OD,5250.83,INR,NEFT,SUCCESS,2025-07-24 03:02:45
212,1494,,267,OD,39542.05,INR,NEFT,SUCCESS,2025-11-04 18:28:03
213,1279,,30,TG,542.01,INR,IMPS,SUCCESS,2024-12-14 11:58:46
214,1749,,210,HR,4806.01,INR,IMPS,SUCCESS,2024-10-22 17:27:08
215,1095,,53,MH,24873.54,INR,NEFT,SUCCESS,2025-08-27 13:09:50
216,1641,,161,BR,1278.51,INR,UPI,SUCCESS,2024-10-22 02:29:37
217,945,,188,UP,2515.13,INR,UPI,SUCCESS,2026-03-18 02:25:36
218,858,,157,KA,12215.17,INR,UPI,SUCCESS,2026-05-23 19:27:09
219,1077,,298,UP,1341.88,INR,UPI,SUCCESS,2024-11-06 09:55:11
220,1317,,7,OD,799.43,INR,UPI,SUCCESS,2026-04-19 18:17:53
221,352,,59,WB,7841.45,INR,NEFT,SUCCESS,2024-11-11 14:55:22
222,496,,40,PB,1463.6,INR,NEFT,SUCCESS,2024-09-07 10:51:02
223,93,,159,GJ,3492.85,INR,NEFT,SUCCESS,2024-12-14 20:55:09
224,1536,1825,152,PB,1177.56,INR,CARD,SUCCESS,2026-07-13 00:09:11
225,1777,,121,TN,8256.97,INR,IMPS,SUCCESS,2026-06-01 16:32:44
226,1501,,112,PB,7363.95,INR,UPI,SUCCESS,2026-07-03 19:38:25
227,897,1105,140,PB,1115.96,INR,CARD,SUCCESS,2026-12-23 02:13:41
228,1727,,131,UP,3361.87,INR,NEFT,SUCCESS,2024-10-31 13:27:28
229,374,,97,MP,1276.87,INR,UPI,SUCCESS,2025-11-17 15:53:33
230,529,635,51,PB,5001.44,INR,CARD,SUCCESS,2025-04-10 20:28:33
231,1590,,27,OD,4864.55,INR,UPI,SUCCESS,2025-09-18 22:02:33
232,692,,24,KL,3305.47,INR,UPI,SUCCESS,2026-04-14 06:13:48
233,952,,70,DL,15815.02,INR,IMPS,SUCCESS,2026-03-14 23:11:14
234,1775,,91,WB,14082.1,INR,UPI,SUCCESS,2026-03-23 15:31:47
235,858,,206,WB,4114.96,INR,UPI,SUCCESS,2025-12-05 21:19:44
236,1914,,220,TG,27442.87,INR,UPI,SUCCESS,2026-01-02 04:48:04
237,602,,6,TG,35464.19,INR,UPI,SUCCESS,2025-12-25 00:38:17
238,1743,2059,139,DL,557.42,INR,CARD,SUCCESS,2026-07-19 15:40:25
239,1503,,121,MH,5376.39,INR,UPI,SUCCESS,2025-11-06 18:04:47
240,595,723,138,TG,4371.26,INR,CARD,SUCCESS,2026-12-10 23:16:43
241,573,693,126,KL,48606.34,INR,CARD,SUCCESS,2025-05-09 15:48:33
242,1921,2278,47,KA,6341.76,INR,CARD,FAILED,2025-06-29 12:39:09
243,17,,295,HR,5771.64,INR,UPI,SUCCESS,2025-10-02 18:30:58
244,134,,99,TG,1455.63,INR,UPI,SUCCESS,2025-04-19 06:29:09
245,1402,,29,MP,30759.97,INR,NEFT,SUCCESS,2026-01-10 09:11:10
246,1598,,37,MP,303.21,INR,UPI,SUCCESS,2025-03-05 12:22:07
247,1184,,90,GJ,2596.34,INR,IMPS,SUCCESS,2026-02-13 08:19:50
248,1195,,217,HR,36196.93,INR,UPI,SUCCESS,2025-10-01 07:14:32
249,1165,,129,WB,829.33,INR,UPI,SUCCESS,2024-08-22 14:47:01
250,1625,,119,RJ,3177.08,INR,UPI,SUCCESS,2026-10-07 22:36:54
251,776,,218,WB,4138.08,INR,UPI,SUCCESS,2025-01-05 14:22:42
252,615,,265,GJ,10822.08,INR,UPI,SUCCESS,2025-08-12 02:38:41
253,1924,,270,RJ,7686.85,INR,IMPS,SUCCESS,2025-09-08 08:46:46
254,1656,,186,GJ,3285.35,INR,UPI,SUCCESS,2024-12-25 03:58:13
255,1271,,69,AS,2839.25,INR,UPI,SUCCESS,2025-05-01 02:32:26
256,45,,296,HR,43167.46,INR,UPI,SUCCESS,2026-06-23 20:19:08
257,983,,5,BR,6368.72,INR,UPI,SUCCESS,2025-01-19 17:54:32
258,197,,241,AS,24589.03,INR,UPI,SUCCESS,2025-10-10 18:27:05
259,10,12,20,RJ,1166.83,INR,CARD,SUCCESS,2025-09-09 02:05:10
260,435,531,141,MP,3946.63,INR,CARD,SUCCESS,2025-07-12 19:36:12
261,1207,,276,MH,3784.36,INR,UPI,SUCCESS,2024-10-31 17:08:58
262,1748,,12,BR,4380.09,INR,NEFT,SUCCESS,2024-10-15 00:34:50
263,1273,,226,WB,81874.37,INR,UPI,SUCCESS,2025-02-28 11:59:09
264,1948,,230,HR,2142.32,INR,UPI,SUCCESS,2026-02-26 08:57:28
265,1337,1619,174,MH,521.38,INR,CARD,SUCCESS,2025-06-04 12:58:45
266,600,729,134,WB,6886.81,INR,CARD,SUCCESS,2025-01-18 03:50:28
267,754,,223,RJ,7033.16,INR,UPI,SUCCESS,2026-11-17 07:09:36
268,1601,1895,210,OD,2628.61,INR,CARD,SUCCESS,2024-12-14 09:19:16
269,1535,1824,136,KA,45111.43,INR,CARD,SUCCESS,2026-02-07 01:01:02
270,344,,170,DL,20078.12,INR,UPI,SUCCESS,2025-12-23 15:49:06
271,1760,,124,OD,4357.45,INR,NEFT,SUCCESS,2024-12-21 22:19:18
272,1792,2117,155,GJ,2643.69,INR,CARD,SUCCESS,2025-03-21 07:48:01
273,1554,,209,MP,43042.84,INR,NEFT,SUCCESS,2025-09-11 19:08:52
274,39,,44,TG,1793.27,INR,UPI,SUCCESS,2025-11-02 00:40:10
275,683,850,44,MH,58026.86,INR,CARD,SUCCESS,2025-12-22 04:48:13
276,1761,,189,OD,306.4,INR,NEFT,SUCCESS,2025-09-21 03:26:22
277,973,,25,BR,80400.72,INR,UPI,SUCCESS,2025-01-07 22:04:15
278,442,,130,RJ,3857.32,INR,UPI,SUCCESS,2026-04-08 12:42:52
279,1531,,126,TG,14341.43,INR,UPI,SUCCESS,2025-05-24 23:54:38
280,864,,46,DL,5878.3,INR,NEFT,SUCCESS,2025-01-27 18:07:49
281,1815,,229,AS,522.03,INR,NEFT,SUCCESS,2025-07-08 10:38:26
282,847,,70,AS,9825.48,INR,IMPS,SUCCESS,2026-12-02 01:56:44
283,1847,2198,284,RJ,18305.12,INR,CARD,SUCCESS,2026-04-02 16:54:31
284,1256,1523,140,PB,8304.42,INR,CARD,SUCCESS,2025-05-12 01:40:40
285,914,,236,MH,71168.22,INR,NEFT,FAILED,2026-04-10 22:58:17
286,798,,239,MH,2186.47,INR,UPI,SUCCESS,2024-11-04 17:45:04
287,863,,240,AS,7158.36,INR,UPI,SUCCESS,2025-11-28 12:00:34
288,1545,1835,242,DL,15353.96,INR,CARD,SUCCESS,2024-09-24 04:43:07
289,1318,,24,DL,2919.23,INR,UPI,SUCCESS,2025-05-26 09:46:46
290,1487,1771,260,RJ,3085.3,INR,CARD,SUCCESS,2025-09-22 00:55:50
291,1640,,171,GJ,39454.3,INR,UPI,SUCCESS,2024-12-28 00:54:44
292,1772,,67,DL,23548.87,INR,UPI,SUCCESS,2026-07-22 00:41:44
293,1562,,7,AS,1306.38,INR,UPI,SUCCESS,2025-10-27 05:07:31
294,144,,31,HR,5911.34,INR,NEFT,SUCCESS,2024-12-09 10:14:03
295,1568,,257,PB,3535.87,INR,UPI,PENDING,2024-10-16 09:23:29
296,1399,1675,163,RJ,803.34,INR,CARD,SUCCESS,2024-10-08 10:04:40
297,628,,241,BR,27196.3,INR,IMPS,SUCCESS,2026-12-11 13:45:04
298,946,1159,299,TG,8291.01,INR,CARD,SUCCESS,2024-08-22 06:57:24
299,1459,,69,HR,1938.97,INR,UPI,SUCCESS,2025-12-21 13:57:19
300,566,679,85,UP,1081.94,INR,CARD,SUCCESS,2025-01-01 10:05:41
301,1861,,147,OD,6857.39,INR,UPI,SUCCESS,2025-12-07 00:12:13
302,358,,80,KA,4491.58,INR,UPI,SUCCESS,2024-10-17 12:54:07
303,771,,17,GJ,1371.64,INR,UPI,SUCCESS,2025-11-11 20:57:06
304,519,,233,UP,14691.32,INR,UPI,SUCCESS,2025-03-30 10:05:38
305,1695,,66,RJ,152.99,INR,UPI,SUCCESS,2024-08-22 23:04:06
306,1529,,86,OD,11020.99,INR,UPI,SUCCESS,2026-05-23 03:05:42
307,169,207,276,BR,5519.93,INR,CARD,SUCCESS,2026-06-14 11:14:45
308,982,,155,WB,613.23,INR,UPI,SUCCESS,2024-10-08 07:21:28
309,385,,5,WB,3705.59,INR,UPI,SUCCESS,2025-06-30 23:41:32
310,1095,,41,HR,2859.17,INR,IMPS,SUCCESS,2026-12-28 20:44:39
311,1234,,168,DL,31919.86,INR,UPI,SUCCESS,2025-09-19 20:22:32
312,1815,,39,MP,55042.09,INR,IMPS,SUCCESS,2026-04-29 07:42:25
313,1817,,57,UP,7598.12,INR,UPI,SUCCESS,2025-01-16 15:25:54
314,199,,113,KA,15896.92,INR,UPI,SUCCESS,2026-02-17 12:05:42
315,1500,,29,KA,59568.78,INR,IMPS,SUCCESS,2026-06-13 18:10:50
316,531,,66,UP,14101.19,INR,IMPS,SUCCESS,2024-12-09 22:26:05
317,1795,2120,190,DL,1765.28,INR,CARD,SUCCESS,2026-03-04 06:49:00
318,356,,33,WB,12972.26,INR,UPI,SUCCESS,2024-10-16 16:42:22
319,823,,46,HR,2600.71,INR,UPI,SUCCESS,2026-10-28 10:02:20
320,657,,115,KL,4950.74,INR,UPI,SUCCESS,2025-07-25 08:30:41
321,181,,52,BR,5394.11,INR,UPI,SUCCESS,2025-10-10 10:39:11
322,1573,,161,BR,1027.32,INR,UPI,SUCCESS,2026-04-23 13:11:00
323,1816,2157,156,TN,2481.62,INR,CARD,SUCCESS,2026-08-09 03:44:47
